Country,TIME_PERIOD,OBS_VALUE,Country Code,Indicator Name,Indicator Code,GDP_per_capita
France,2003,37.855179,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48425.3789123088
United States,2003,38.652836,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,56519.3507123652
Italy,2003,12.695857,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51332.0800112934
United Kingdom,1998,25.98814,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41969.9756924858
Japan,1998,46.062992,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,38427.0294361961
France,1998,29.644657,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44812.2587250686
Canada,1998,45.555809,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43879.5681195652
United Kingdom,1999,27.681889,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43112.8683410754
Japan,1999,45.76923,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,38228.8456478412
Germany,1999,21.528263,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48453.5294522155
United States,2001,38.717625,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55037.8936729664
Italy,2001,11.754972,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51435.5010262359
United Kingdom,2001,30.066694,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45793.4004706286
Japan,2001,48.525471,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39276.7555766593
Spain,2022,50.514442,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45787.6980240078
Japan,2022,65.682365,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45174.7319207138
France,2022,50.389492,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54988.3345799934
Canada,2022,66.970039,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,56872.6053482353
Spain,2002,37.484509,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41363.6582828152
United States,2000,38.083973,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55059.2191687802
Italy,2000,10.429003,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50479.3593680185
United Kingdom,2007,43.08427,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51251.414664495
Japan,2007,53.696037,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42413.7796738934
Germany,2007,22.62182,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54637.3246244388
United Kingdom,2006,41.8297,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50333.1544815525
Japan,2006,54.074074,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41841.6279122437
France,2006,41.416058,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50746.1036933234
Canada,2006,54.622643,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52391.3792619498
Germany,2005,22.494616,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50981.750349177
Spain,2005,40.703537,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43214.3592577387
United States,2008,41.564896,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,60821.1859611643
Italy,2008,19.90484,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52319.7460046777
France,2004,38.220337,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49430.9923926884
Canada,2004,53.197052,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50436.294842704
Germany,2004,22.942751,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50582.6948121358
Spain,2010,40.312317,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42481.396089892
